@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute searchPercentage numeric
@attribute debugPercentage numeric
@attribute focusPercentage numeric
@attribute editPercentage numeric
@attribute removePercentage numeric
@attribute stuck {YES,NO}

@data
2.27,2.27,0,93.18,2.27,NO
0,0,0,97.92,2.08,NO
0,0,0,100,0,NO
0,0,2.13,97.87,0,NO
0,0,0,100,0,NO
0,0,2.13,97.87,0,NO
0,0,4.55,95.45,0,NO
5.41,8.11,10.81,75.68,0,NO
15.38,7.69,11.54,65.38,0,NO
33.33,33.33,33.33,0,0,NO
4.76,2.38,4.76,88.1,0,NO
0,0,0,100,0,NO
19.23,11.54,11.54,57.69,0,NO
0,0,0,0,0,NO
7.41,7.41,3.7,81.48,0,NO
100,0,0,0,0,NO
16,0,12,72,0,NO
0,0,9.76,90.24,0,NO
5.56,16.67,11.11,66.67,0,NO
7.5,2.5,7.5,82.5,0,NO
2.5,2.5,0,95,0,NO
2.78,2.78,16.67,77.78,0,NO
20,12,20,48,0,NO
0,0,2.13,97.87,0,NO
7.5,7.5,2.5,82.5,0,NO
2.86,5.71,2.86,88.57,0,NO
6.45,3.23,22.58,67.74,0,NO
5.71,0,8.57,82.86,2.86,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,97.96,2.04,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,29.17,70.83,0,NO
40,0,6.67,33.33,20,NO
45.45,0,0,54.55,0,NO
4.44,0,0,84.44,11.11,NO
25,0,15,60,0,NO
26.09,0,4.35,69.57,0,NO
56.25,0,18.75,18.75,6.25,NO
87.88,0,3.03,6.06,3.03,NO
100,0,0,0,0,NO
34.09,0,4.55,59.09,2.27,NO
0,0,0,100,0,NO
0,0,2.27,97.73,0,NO
0,0,2.13,97.87,0,NO
0,0,2.17,97.83,0,NO
0,0,0,100,0,NO
12.2,0,4.88,80.49,2.44,NO
6.82,0,0,88.64,4.55,NO
17.95,0,0,79.49,2.56,NO
9.3,0,0,88.37,2.33,NO
4.17,0,0,95.83,0,NO
0,0,0,100,0,NO
50,0,16.67,33.33,0,YES
10,0,7.5,82.5,0,NO
0,0,0,100,0,NO
16.13,6.45,12.9,64.52,0,NO
28.57,28.57,42.86,0,0,NO
50,16.67,33.33,0,0,NO
0,0,100,0,0,NO
0,0,0,100,0,NO
23.68,0,2.63,73.68,0,NO
50,0,50,0,0,NO
56.25,0,0,43.75,0,NO
20,0,0,80,0,NO
6.67,0,10,83.33,0,NO
0,0,2.22,97.78,0,NO
0,0,0,100,0,NO
14.29,0,2.86,82.86,0,NO
37.5,0,0,50,12.5,NO
2.13,0,0,82.98,14.89,NO
7.69,0,2.56,89.74,0,NO
2.13,0,0,91.49,6.38,NO
2.17,0,0,97.83,0,NO
17.24,17.24,13.79,51.72,0,NO
17.95,5.13,7.69,69.23,0,NO
36.11,5.56,8.33,50,0,NO
0,0,100,0,0,NO
100,0,0,0,0,NO
66.67,0,33.33,0,0,NO
33.33,22.22,33.33,11.11,0,NO
2.27,0,6.82,90.91,0,NO
0,0,4.55,95.45,0,NO
0,0,100,0,0,NO
40,0,60,0,0,NO
2.17,0,6.52,91.3,0,NO
0,2.38,7.14,90.48,0,NO
4.76,2.38,14.29,66.67,11.9,NO
0,0,0,95.83,4.17,NO
0,4.35,4.35,91.3,0,NO
0,0,100,0,0,NO
2,0,0,98,0,NO
9.38,6.25,18.75,65.62,0,NO
20,0,0,80,0,NO
10,0,2.5,87.5,0,NO
4.55,0,2.27,90.91,2.27,NO
0,0,0,100,0,NO
2.17,0,2.17,95.65,0,NO
8.51,0,2.13,89.36,0,NO
3.57,3.57,10.71,82.14,0,NO
0,11.11,11.11,77.78,0,NO
6.67,6.67,6.67,80,0,NO
0,0,0,0,0,NO
0,0,0,0,0,NO
45.83,0,0,50,4.17,NO
4,0,2,94,0,NO
4.35,0,6.52,89.13,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,2.22,93.33,4.44,NO
0,0,2.33,93.02,4.65,NO
0,0,4.35,89.13,6.52,NO
0,0,4.65,95.35,0,NO
9.52,4.76,9.52,76.19,0,NO
0,0,2.08,97.92,0,NO
16,4,24,56,0,NO
100,0,0,0,0,NO
0,5.88,11.76,82.35,0,NO
33.33,33.33,33.33,0,0,NO
5.88,5.88,17.65,70.59,0,NO
50,0,50,0,0,NO
2.94,0,0,97.06,0,NO
0,33.33,66.67,0,0,NO
0,0,0,0,0,NO
8.11,5.41,8.11,78.38,0,NO
0,0,0,100,0,NO
0,14.29,0,85.71,0,NO
0,0,0,0,0,YES
2.56,0,0,97.44,0,NO
0,0,4.35,95.65,0,NO
2.56,0,12.82,84.62,0,NO
0,0,0,100,0,NO
0,0,6.82,93.18,0,NO
4.17,0,0,95.83,0,NO
8.51,0,0,91.49,0,NO
0,0,0,100,0,NO
0,8.33,0,91.67,0,NO
0,0,0,0,0,NO
0,0,0,0,0,NO
100,0,0,0,0,NO
0,0,61.54,38.46,0,NO
11.11,0,55.56,33.33,0,NO
0,6.25,68.75,25,0,NO
38.71,0,9.68,51.61,0,NO
12,4,16,64,4,NO
23.81,0,19.05,57.14,0,NO
15.22,0,0,80.43,4.35,NO
8.11,2.7,10.81,59.46,18.92,NO
0,0,0,95.83,4.17,NO
0,0,0,97.96,2.04,NO
12.5,2.5,7.5,47.5,30,NO
11.11,0,11.11,77.78,0,NO
0,0,2.13,97.87,0,NO
14.29,0,35.71,50,0,NO
15.79,21.05,47.37,15.79,0,NO
20,0,40,40,0,NO
54.55,4.55,18.18,22.73,0,NO
10.53,5.26,26.32,57.89,0,NO
7.14,0,3.57,89.29,0,NO
11.76,5.88,23.53,58.82,0,NO
31.25,0,68.75,0,0,NO
50,0,50,0,0,NO
47.37,0,42.11,10.53,0,NO
80,0,20,0,0,NO
23.33,0,23.33,36.67,16.67,NO
0,0,11.54,88.46,0,NO
0,0,6.45,93.55,0,NO
0,0,2.63,97.37,0,NO
0,0,0,100,0,NO
0,0,2.13,97.87,0,NO
0,0,0,78.72,21.28,NO
4.55,0,2.27,93.18,0,NO
8.33,0,5.56,86.11,0,NO
0,0,0,56.52,43.48,NO
0,0,0,61.9,38.1,NO
7.14,10.71,21.43,50,10.71,NO
0,0,100,0,0,NO
16,28,48,8,0,NO
0,0,0,100,0,NO
2.7,5.41,10.81,81.08,0,NO
2.78,5.56,11.11,80.56,0,NO
6.06,6.06,27.27,60.61,0,NO
0,0,25,75,0,NO
17.65,0,14.71,67.65,0,NO
66.67,0,0,33.33,0,NO
32.43,0,2.7,62.16,2.7,NO
7.5,0,7.5,85,0,NO
0,0,0,77.55,22.45,NO
0,0,0,71.43,28.57,NO
0,0,9.09,88.64,2.27,NO
0,0,2.13,97.87,0,NO
0,0,0,100,0,NO
33.33,0,11.11,55.56,0,NO
26.32,0,10.53,57.89,5.26,NO
9.3,0,4.65,79.07,6.98,NO
2.27,0,2.27,95.45,0,NO
20.59,0,5.88,61.76,11.76,NO
25,0,13.89,58.33,2.78,NO
5.41,0,13.51,81.08,0,NO
4.76,0,4.76,88.1,2.38,NO
10.81,0,2.7,86.49,0,NO
0,0,0,43.59,56.41,NO
0,0,0,57.14,42.86,NO
0,0,11.36,84.09,4.55,NO
6.52,0,4.35,89.13,0,NO
6.67,0,2.22,88.89,2.22,NO
28.95,0,10.53,60.53,0,NO
37.5,12.5,50,0,0,NO
21.74,4.35,34.78,39.13,0,NO
2.94,5.88,17.65,73.53,0,NO
0,2.38,9.52,88.1,0,NO
11.11,11.11,40.74,37.04,0,NO
0,8.33,0,91.67,0,NO
8.11,5.41,10.81,75.68,0,NO
2.44,2.44,7.32,87.8,0,NO
5.41,5.41,13.51,75.68,0,NO
5.13,0,15.38,69.23,10.26,NO
5.13,2.56,5.13,82.05,5.13,NO
4.55,0,2.27,93.18,0,NO
5,5,7.5,82.5,0,NO
36,4,32,28,0,NO
0,0,100,0,0,NO
13.51,0,21.62,54.05,10.81,NO
20,0,30,46.67,3.33,NO
0,0,0,100,0,NO
28.57,0,14.29,28.57,28.57,NO
15.38,0,84.62,0,0,NO
0,0,100,0,0,NO
56.25,0,37.5,6.25,0,NO
0,0,0,0,0,NO
0,50,50,0,0,NO
0,0,100,0,0,NO
0,50,50,0,0,NO
50,0,50,0,0,NO
20,0,8,72,0,NO
6.25,6.25,12.5,75,0,NO
13.79,10.34,34.48,41.38,0,NO
0,0,24.32,75.68,0,NO
0,0,9.09,90.91,0,NO
8.82,8.82,23.53,58.82,0,NO
4.17,4.17,4.17,87.5,0,NO
22.22,0,77.78,0,0,NO
12,0,72,16,0,NO
0,0,91.67,8.33,0,NO
0,0,94.44,5.56,0,NO
0,0,93.75,6.25,0,NO
0,0,100,0,0,NO
61.11,0,38.89,0,0,NO
52,0,8,40,0,NO
14.81,0,0,85.19,0,NO
11.11,0,0,88.89,0,NO
26.32,0,42.11,31.58,0,NO
18.75,0,31.25,50,0,NO
16.67,0,58.33,25,0,NO
14.29,0,5.71,68.57,11.43,NO
8.57,0,2.86,88.57,0,NO
43.75,0,0,56.25,0,NO
30.56,0,5.56,63.89,0,NO
23.68,0,5.26,71.05,0,NO
34.09,0,0,65.91,0,NO
57.58,0,0,42.42,0,NO
38.46,0,0,61.54,0,NO
38.46,0,0,61.54,0,NO
64.29,0,7.14,28.57,0,NO
0,0,0,100,0,NO
0,0,0,72.22,27.78,NO
10,0,0,73.33,16.67,NO
11.9,0,4.76,83.33,0,NO
13.79,0,0,86.21,0,NO
15.91,0,2.27,81.82,0,NO
42.31,0,0,57.69,0,NO
22.5,0,2.5,75,0,NO
41.18,5.88,11.76,41.18,0,NO
66.67,0,0,33.33,0,NO
33.33,0,0,33.33,33.33,NO
0,0,0,40,60,NO
3.12,0,3.12,84.38,9.38,NO
0,0,0,91.43,8.57,NO
8.82,0,11.76,79.41,0,NO
0,0,2.08,97.92,0,NO
13.51,0,2.7,67.57,16.22,NO
2.13,0,0,93.62,4.26,NO
11.76,0,2.94,79.41,5.88,NO
13.04,21.74,47.83,17.39,0,NO
33.33,8.33,33.33,20.83,4.17,NO
19.05,23.81,42.86,9.52,4.76,NO
40.91,13.64,22.73,18.18,4.55,NO
21.74,4.35,34.78,39.13,0,NO
2.7,0,16.22,81.08,0,NO
50,0,19.23,26.92,3.85,NO
20,3.33,16.67,60,0,NO
25,25,50,0,0,NO
25,0,75,0,0,NO
10.34,0,37.93,51.72,0,NO
3.03,3.03,15.15,78.79,0,NO
6.45,3.23,6.45,83.87,0,NO
11.11,3.7,29.63,55.56,0,NO
14.29,9.52,19.05,57.14,0,NO
23.81,9.52,14.29,52.38,0,NO
0,8.33,16.67,75,0,NO
7.41,3.7,29.63,59.26,0,NO
0,2.44,12.2,85.37,0,NO
5.26,7.89,15.79,71.05,0,NO
0,2.63,21.05,76.32,0,NO
8.57,5.71,20,65.71,0,NO
5.56,2.78,11.11,80.56,0,NO
5.71,2.86,11.43,80,0,NO
16,12,28,44,0,NO
2.94,8.82,23.53,64.71,0,NO
23.33,0,13.33,56.67,6.67,NO
11.43,0,5.71,82.86,0,NO
9.09,0,6.82,84.09,0,NO
4.26,0,2.13,93.62,0,NO
0,0,18.42,78.95,2.63,NO
14.29,0,4.76,78.57,2.38,NO
8,12,8,64,8,NO
8.33,4.17,4.17,83.33,0,NO
9.09,0,4.55,81.82,4.55,NO
0,0,0,96.43,3.57,NO
12.5,12.5,25,37.5,12.5,NO
33.33,0,66.67,0,0,NO
10.26,2.56,5.13,82.05,0,NO
4,4,4,84,4,NO
42.86,0,57.14,0,0,NO
33.33,16.67,50,0,0,NO
25,0,25,50,0,NO
11.11,0,0,88.89,0,NO
9.09,27.27,45.45,9.09,9.09,NO
0,0,66.67,16.67,16.67,NO
0,0,18.42,81.58,0,NO
0,0,2.44,97.56,0,NO
0,0,4.26,95.74,0,NO
13.89,0,16.67,61.11,8.33,NO
18.42,0,2.63,63.16,15.79,NO
0,0,0,95.74,4.26,NO
17.07,0,4.88,78.05,0,NO
0,0,6.52,93.48,0,NO
0,2.44,14.63,82.93,0,NO
0,0,100,0,0,NO
40,0,0,60,0,NO
18.18,0,81.82,0,0,NO
7.69,0,2.56,87.18,2.56,NO
0,0,0,100,0,NO
0,0,12.9,77.42,9.68,NO
0,0,9.76,78.05,12.2,NO
0,0,9.76,87.8,2.44,NO
0,0,5.26,94.74,0,NO
0,0,0,100,0,NO
27.78,5.56,44.44,22.22,0,NO
18.18,9.09,54.55,18.18,0,NO
17.65,0,35.29,47.06,0,NO
9.76,0,4.88,82.93,2.44,NO
14.58,0,0,85.42,0,NO
4.17,0,2.08,93.75,0,NO
4.55,0,2.27,90.91,2.27,NO
9.68,6.45,19.35,58.06,6.45,NO
25,18.75,25,31.25,0,NO
26.67,6.67,20,46.67,0,NO
47.06,0,23.53,29.41,0,NO
54.55,0,0,45.45,0,NO
14.29,3.57,28.57,53.57,0,NO
14.29,2.86,11.43,71.43,0,NO
0,0,0,91.49,8.51,NO
0,0,0,95.74,4.26,NO
6.67,0,0,93.33,0,NO
3.7,11.11,33.33,51.85,0,NO
14.81,3.7,29.63,51.85,0,NO
23.53,0,41.18,35.29,0,NO
7.89,0,5.26,73.68,13.16,NO
0,2.56,17.95,58.97,20.51,NO
0,0,4.76,85.71,9.52,NO
0,0,0,10.2,89.8,NO
0,0,0,69.39,30.61,NO
30,20,50,0,0,NO
75,0,25,0,0,NO
22.22,11.11,66.67,0,0,NO
16.67,4.17,33.33,45.83,0,NO
73.68,0,10.53,15.79,0,NO
75,0,25,0,0,NO
47.06,0,26.47,26.47,0,NO
8.57,5.71,8.57,77.14,0,NO
15.38,15.38,26.92,42.31,0,NO
3.33,6.67,13.33,76.67,0,NO
75,0,25,0,0,NO
100,0,0,0,0,NO
21.43,7.14,71.43,0,0,NO
83.33,0,16.67,0,0,NO
17.39,0,34.78,47.83,0,NO
0,0,0,0,0,NO
10.34,0,27.59,62.07,0,NO
12,0,52,36,0,NO
0,0,27.27,72.73,0,NO
5.71,5.71,17.14,71.43,0,NO
2.94,5.88,23.53,67.65,0,NO
0,0,35.71,64.29,0,NO
0,0,18.92,81.08,0,NO
0,0,53.57,46.43,0,NO
0,0,32.26,67.74,0,NO
0,0,17.65,82.35,0,NO
0,0,24.24,75.76,0,NO
0,0,25,75,0,NO
13.51,2.7,13.51,67.57,2.7,NO
60,0,40,0,0,NO
80,0,20,0,0,NO
19.05,0,7.14,71.43,2.38,NO
5.41,0,13.51,81.08,0,NO
7.69,0,19.23,73.08,0,NO
10.34,0,10.34,72.41,6.9,NO
26.32,0,36.84,36.84,0,NO
16.22,0,13.51,70.27,0,NO
0,0,20,80,0,NO
0,0,16.22,83.78,0,NO
0,0,4.44,95.56,0,NO
2.7,0,18.92,78.38,0,NO
0,2.78,16.67,80.56,0,NO
47.83,13.04,39.13,0,0,NO
30,0,70,0,0,NO
44.44,0,55.56,0,0,NO
40,0,30,30,0,NO
11.54,0,30.77,53.85,3.85,NO
10.26,0,15.38,69.23,5.13,NO
10,0,5,77.5,7.5,NO
20.93,0,2.33,65.12,11.63,NO
0,0,0,100,0,NO
2.44,0,4.88,92.68,0,NO
4.76,0,14.29,76.19,4.76,NO
7.14,3.57,14.29,71.43,3.57,NO
46.67,6.67,40,6.67,0,NO
15,0,7.5,70,7.5,NO
0,0,11.36,86.36,2.27,NO
0,0,11.63,86.05,2.33,NO
6.38,0,0,76.6,17.02,NO
0,0,0,100,0,NO
5.26,2.63,10.53,78.95,2.63,NO
33.33,6.67,40,20,0,NO
35.29,0,41.18,23.53,0,NO
0,0,17.95,76.92,5.13,NO
0,0,19.51,80.49,0,NO
14.29,2.86,11.43,68.57,2.86,NO
6.67,0,4.44,77.78,11.11,NO
4.76,0,11.9,78.57,4.76,NO
0,0,34.29,65.71,0,NO
0,0,6.82,93.18,0,NO
7.89,2.63,15.79,68.42,5.26,NO
8.82,0,41.18,50,0,NO
2.22,0,6.67,84.44,6.67,NO
5.13,2.56,15.38,76.92,0,NO
4.35,0,2.17,93.48,0,NO
0,0,2.17,97.83,0,NO
6.12,0,0,93.88,0,NO
9.09,0,2.27,88.64,0,NO
6.82,0,6.82,63.64,22.73,NO
4.17,0,0,95.83,0,NO
14.29,2.86,20,62.86,0,NO
28.57,7.14,50,14.29,0,NO
26.67,6.67,26.67,40,0,NO
42.86,0,57.14,0,0,NO
21.43,0,42.86,35.71,0,NO
2.33,0,6.98,86.05,4.65,NO
0,0,7.14,92.86,0,NO
0,0,100,0,0,NO
13.04,4.35,43.48,30.43,8.7,NO
33.33,8.33,33.33,25,0,NO
0,0,0,0,0,NO
46.43,0,21.43,25,7.14,NO
20,20,20,40,0,NO
55.56,0,33.33,11.11,0,NO
28.57,0,71.43,0,0,NO
61.54,7.69,30.77,0,0,NO
59.09,18.18,18.18,4.55,0,NO
50,0,50,0,0,NO
40,0,60,0,0,NO
33.33,0,0,66.67,0,NO
8.57,0,2.86,88.57,0,NO
52.63,0,36.84,10.53,0,NO
26.92,0,19.23,53.85,0,NO
27.27,0,13.64,45.45,13.64,NO
25,8.33,8.33,50,8.33,NO
45,5,35,15,0,NO
38.46,15.38,11.54,34.62,0,NO
100,0,0,0,0,NO
35.9,0,5.13,58.97,0,NO
32.5,0,5,60,2.5,NO
6.9,6.9,10.34,75.86,0,NO
2.86,2.86,20,74.29,0,NO
0,0,15.79,84.21,0,NO
18.75,0,25,56.25,0,NO
66.67,0,33.33,0,0,NO
0,0,0,0,0,NO
60,0,40,0,0,NO
33.33,0,66.67,0,0,NO
5.88,0,8.82,82.35,2.94,NO
2.08,0,0,97.92,0,NO
22.22,0,19.44,58.33,0,NO
2.5,2.5,7.5,87.5,0,NO
28.12,3.12,28.12,40.62,0,NO
0,0,6.52,93.48,0,NO
17.39,0,39.13,43.48,0,NO
36,0,32,32,0,NO
10.53,0,2.63,86.84,0,NO
31.25,3.12,21.88,43.75,0,NO
17.24,0,17.24,65.52,0,NO
2.22,0,4.44,93.33,0,NO
8.33,0,19.44,72.22,0,NO
6.9,0,13.79,79.31,0,NO
21.74,0,13.04,65.22,0,NO
18.75,0,18.75,62.5,0,NO
28.57,7.14,64.29,0,0,NO
20,0,35,45,0,NO
7.41,0,0,92.59,0,NO
27.27,0,72.73,0,0,NO
8.82,0,17.65,73.53,0,NO
30.77,7.69,53.85,7.69,0,NO
25,0,31.25,43.75,0,NO
8.33,0,8.33,83.33,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,100,0,0,NO
0,0,100,0,0,NO
100,0,0,0,0,NO
0,14.29,85.71,0,0,NO
40,0,60,0,0,NO
29.63,0,70.37,0,0,NO
0,0,100,0,0,NO
0,0,62.5,37.5,0,NO
50,0,45,5,0,YES
43.48,0,47.83,8.7,0,NO
0,0,5.71,88.57,5.71,NO
0,0,7.5,92.5,0,NO
0,0,10,90,0,NO
0,0,0,100,0,NO
4.65,0,6.98,88.37,0,NO
19.51,0,9.76,70.73,0,NO
4.88,2.44,4.88,87.8,0,NO
20,10,30,40,0,NO
0,22.22,44.44,33.33,0,NO
5.88,5.88,26.47,61.76,0,NO
0,2.94,20.59,76.47,0,NO
5.41,0,0,94.59,0,NO
0,0,0,100,0,NO
17.78,0,4.44,77.78,0,NO
25,3.57,21.43,46.43,3.57,NO
29.41,0,0,67.65,2.94,NO
38.1,9.52,42.86,9.52,0,NO
6.45,6.45,22.58,64.52,0,NO
55.56,3.7,37.04,3.7,0,NO
78.57,0,21.43,0,0,NO
53.57,3.57,25,17.86,0,NO
5.56,0,11.11,83.33,0,NO
8.33,0,41.67,50,0,NO
96.3,0,0,3.7,0,NO
1.96,0,0,98.04,0,NO
4.35,0,4.35,91.3,0,NO
2.17,0,4.35,93.48,0,NO
8.33,0,0,91.67,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
2.56,7.69,7.69,82.05,0,NO
12.5,2.5,5,75,5,NO
0,0,0,97.92,2.08,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
42.11,10.53,10.53,36.84,0,NO
27.59,10.34,20.69,41.38,0,NO
8,8,28,56,0,NO
74.07,0,25.93,0,0,NO
21.43,21.43,35.71,21.43,0,NO
72.73,0,27.27,0,0,NO
55.56,11.11,33.33,0,0,NO
83.33,16.67,0,0,0,NO
15.79,10.53,5.26,68.42,0,NO
38.46,15.38,15.38,30.77,0,NO
5.26,5.26,0,89.47,0,NO
4.35,0,0,95.65,0,NO
33.33,0,12.12,54.55,0,NO
57.14,28.57,14.29,0,0,NO
100,0,0,0,0,NO
40,6.67,16.67,36.67,0,NO
38.89,27.78,27.78,5.56,0,NO
8.33,41.67,41.67,8.33,0,NO
75,25,0,0,0,NO
42.86,14.29,19.05,23.81,0,NO
0,60,40,0,0,NO
44.83,10.34,17.24,27.59,0,NO
31.25,6.25,12.5,50,0,NO
39.13,4.35,21.74,34.78,0,NO
4.17,0,0,95.83,0,NO
0,0,2.08,93.75,4.17,NO
4.17,0,0,95.83,0,NO
2.33,0,0,95.35,2.33,NO
7.89,5.26,0,81.58,5.26,NO
4.26,0,2.13,89.36,4.26,NO
2.27,2.27,0,93.18,2.27,NO
37.5,12.5,29.17,20.83,0,NO
36.84,26.32,21.05,15.79,0,NO
100,0,0,0,0,NO
39.29,0,14.29,46.43,0,NO
7.14,0,7.14,85.71,0,NO
0,0,100,0,0,NO
48.28,0,6.9,44.83,0,NO
2.5,0,0,97.5,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
5,5,5,85,0,NO
0,0,25,50,25,NO
0,0,29.41,64.71,5.88,NO
2.56,2.56,10.26,84.62,0,NO
0,0,9.76,90.24,0,NO
0,0,9.52,90.48,0,NO
0,0,6.98,93.02,0,NO
0,0,24.24,75.76,0,NO
0,0,0,66.67,33.33,NO
0,0,20,80,0,NO
0,0,0,80,20,NO
0,0,11.63,86.05,2.33,NO
0,0,14.29,85.71,0,NO
9.68,6.45,22.58,61.29,0,NO
0,0,0,100,0,NO
0,2.78,22.22,75,0,NO
0,3.57,39.29,57.14,0,NO
6.98,2.33,6.98,83.72,0,NO
2.13,0,2.13,91.49,4.26,NO
0,0,19.51,78.05,2.44,NO
0,0,12.2,87.8,0,NO
0,25,75,0,0,NO
0,0,16.22,83.78,0,NO
0,0,9.76,90.24,0,NO
0,0,2.13,97.87,0,NO
0,0,11.63,88.37,0,NO
0,0,4.35,95.65,0,NO
8.33,0,16.67,75,0,NO
18.52,0,77.78,3.7,0,NO
20,0,36,44,0,NO
13.79,0,41.38,44.83,0,NO
71.43,0,28.57,0,0,YES
80,0,20,0,0,YES
71.43,0,14.29,14.29,0,NO
4.88,0,0,90.24,4.88,NO
2.44,2.44,0,95.12,0,NO
11.11,11.11,50,27.78,0,NO
0,2.5,12.5,85,0,NO
6.67,0,13.33,80,0,NO
8.57,0,11.43,80,0,NO
20,0,70,10,0,NO
45.45,0,54.55,0,0,NO
11.11,0,11.11,77.78,0,NO
12,4,20,64,0,NO
4.88,0,7.32,87.8,0,NO
0,0,8.89,91.11,0,NO
2.22,0,4.44,88.89,4.44,NO
17.65,5.88,41.18,35.29,0,NO
33.33,0,41.67,25,0,NO
22.58,0,16.13,61.29,0,NO
0,0,12.5,82.5,5,NO
4.17,4.17,37.5,50,4.17,NO
5.88,5.88,26.47,58.82,2.94,NO
8.33,0,20.83,70.83,0,NO
9.38,0,9.38,81.25,0,NO
2.5,0,5,92.5,0,NO
2.08,0,2.08,95.83,0,NO
6.98,2.33,4.65,86.05,0,NO
41.18,0,41.18,17.65,0,NO
30,10,35,25,0,NO
10,6.67,16.67,66.67,0,NO
40,5,40,15,0,NO
0,0,100,0,0,NO
0,0,100,0,0,NO
0,0,100,0,0,NO
0,0,100,0,0,NO
0,0,100,0,0,YES
0,0,100,0,0,YES
0,0,100,0,0,YES
0,0,100,0,0,YES
0,0,100,0,0,YES
0,0,100,0,0,YES
0,0,100,0,0,YES
0,0,100,0,0,NO
25,8.33,45.83,20.83,0,NO
0,0,0,0,0,NO
20,0,80,0,0,NO
16.67,0,83.33,0,0,NO
50,0,50,0,0,NO
0,0,100,0,0,NO
0,0,100,0,0,NO
42.86,0,28.57,28.57,0,NO
0,0,25,75,0,NO
25,0,54.17,20.83,0,NO
24,0,28,48,0,NO
25,0,0,50,25,NO
50,0,50,0,0,YES
66.67,0,33.33,0,0,YES
38.89,11.11,50,0,0,NO
100,0,0,0,0,NO
33.33,0,33.33,33.33,0,NO
5.71,0,14.29,80,0,NO
0,0,0,95.92,4.08,NO
6.98,0,9.3,79.07,4.65,NO
0,0,2.38,97.62,0,NO
0,0,0,100,0,NO
0,0,14.29,85.71,0,NO
0,0,5.41,89.19,5.41,NO
0,0,19.05,76.19,4.76,YES
2.94,0,17.65,76.47,2.94,NO
0,0,0,100,0,YES
2.27,0,0,97.73,0,NO
25.64,0,20.51,53.85,0,NO
13.04,0,6.52,80.43,0,NO
12.77,0,2.13,85.11,0,NO
0,0,6.52,82.61,10.87,NO
24.24,0,24.24,51.52,0,NO
50,0,8.33,41.67,0,NO
4.55,0,2.27,90.91,2.27,NO
2.22,0,2.22,93.33,2.22,NO
0,0,4.65,88.37,6.98,NO
6.38,0,0,89.36,4.26,NO
0,0,2.08,97.92,0,NO
0,16.67,0,83.33,0,NO
17.65,2.94,11.76,64.71,2.94,NO
27.27,9.09,24.24,39.39,0,NO
0,0,0,0,0,NO
4.76,0,2.38,88.1,4.76,NO
0,0,6.52,93.48,0,NO
0,0,2.13,95.74,2.13,NO
35.71,21.43,14.29,28.57,0,NO
20,13.33,6.67,60,0,NO
9.76,2.44,2.44,85.37,0,NO
6.45,19.35,29.03,45.16,0,NO
8.89,4.44,2.22,84.44,0,NO
0,0,12.5,87.5,0,NO
2.63,10.53,5.26,81.58,0,NO
83.33,0,16.67,0,0,NO
8.11,0,5.41,81.08,5.41,NO
0,0,19.05,80.95,0,NO
0,0,6.67,93.33,0,NO
83.33,0,16.67,0,0,NO
20,6.67,20,53.33,0,NO
6.06,6.06,3.03,81.82,3.03,NO
0,0,0,100,0,NO
19.51,0,4.88,63.41,12.2,NO
0,14.29,28.57,57.14,0,YES
5.41,5.41,8.11,81.08,0,NO
35.71,7.14,14.29,42.86,0,NO
4.55,2.27,4.55,88.64,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
10,5,10,75,0,NO
0,0,6.38,93.62,0,NO
0,0,0,100,0,NO
13.95,0,6.98,69.77,9.3,NO
6.67,0,4.44,88.89,0,NO
0,0,0,100,0,NO
4.44,0,2.22,93.33,0,NO
17.95,0,5.13,74.36,2.56,NO
17.65,0,23.53,58.82,0,NO
2.94,2.94,5.88,88.24,0,NO
28.57,14.29,57.14,0,0,NO
48.15,11.11,22.22,18.52,0,NO
32,4,44,20,0,NO
16.67,0,26.67,56.67,0,NO
17.39,0,43.48,39.13,0,NO
66.67,0,33.33,0,0,NO
60,0,40,0,0,NO
0,0,100,0,0,YES
25.64,0,7.69,66.67,0,NO
0,0,2.08,52.08,45.83,NO
4.35,0,6.52,69.57,19.57,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,2.38,97.62,0,NO
0,0,4.55,90.91,4.55,NO
0,0,0,100,0,NO
0,0,2.38,97.62,0,NO
9.52,0,2.38,88.1,0,NO
83.33,0,16.67,0,0,NO
7.69,0,3.85,88.46,0,NO
0,0,0,100,0,NO
